,date,Arizona Cardinals, Atlanta Falcons, Baltimore Ravens, Buffalo Bills, Carolina Panthers, Chicago Bears, Cincinnati Bengals, Cleveland Browns, Denver Broncos, Detroit Lions, Green Bay Packers, Houston Texans, Indianapolis Colts, Jacksonville Jaguars, Kansas City Chiefs, Las Vegas Raiders, Los Angeles Chargers, Los Angeles Rams, Miami Dolphins, Minnesota Vikings, New England Patriots, New Orleans Saints, New York Giants, New York Jets, Philadelphia Eagles, Pittsburgh Steelers, San Francisco 49ers, Seattle Seahawks, Tampa Bay Buccaneers, Tennessee Titans, Washington Commanders, Dallas Cowboys
84,2020-12-03,3,5,25,2,5,4,2,2,4,6,2,3,3,4,3,5,4,4,4,7,5,2,8,4,5,9,9,6,1,4,3,5
85,2020-12-04,3,4,4,2,4,4,2,2,3,6,2,3,3,4,3,5,4,4,4,7,4,2,7,5,5,8,8,6,1,4,2,5
86,2020-12-05,3,5,3,2,5,5,3,2,4,8,3,3,4,4,3,6,4,4,5,8,5,3,8,5,7,8,8,7,1,5,3,5
87,2020-12-06,22,37,6,5,15,42,22,21,14,48,16,21,25,42,9,38,22,22,29,71,31,20,44,43,33,17,17,41,5,37,8,15
88,2020-12-07,14,8,6,7,9,14,7,7,51,16,10,5,7,10,30,15,16,16,13,18,25,6,50,24,24,23,23,29,3,10,32,11
89,2020-12-08,4,4,13,25,7,6,3,4,5,7,3,2,4,4,5,7,6,6,8,8,8,3,16,10,10,70,70,6,2,4,54,16
90,2020-12-09,3,4,40,3,6,5,3,3,4,7,2,2,4,4,3,6,7,7,5,7,7,2,11,6,7,9,9,5,1,3,6,53
91,2020-12-10,3,3,3,2,7,4,3,2,3,6,2,2,3,5,2,6,16,16,5,6,14,2,9,5,5,7,7,4,1,3,4,7
92,2020-12-11,3,3,3,2,6,5,3,2,4,6,3,2,3,4,3,6,69,69,5,8,56,2,8,6,5,7,7,5,2,3,3,5
93,2020-12-12,4,3,2,3,6,5,3,2,4,8,3,3,4,4,3,6,6,6,6,9,6,3,9,5,6,8,8,6,2,3,3,5
94,2020-12-13,18,18,5,8,30,35,30,5,18,44,16,22,29,22,24,31,8,8,39,61,9,19,31,27,40,35,35,33,12,18,19,37
95,2020-12-14,6,13,10,36,10,12,8,9,7,29,11,5,16,6,7,21,7,7,12,18,6,16,13,19,40,28,28,19,4,7,20,12
96,2020-12-15,3,4,53,5,10,5,3,40,4,7,3,3,5,4,3,7,5,5,7,8,4,2,7,6,7,7,7,6,1,4,4,5
97,2020-12-16,3,3,5,3,6,4,2,3,3,6,2,2,3,3,2,6,4,4,5,6,3,2,6,5,5,6,6,4,1,3,3,4
98,2020-12-17,3,3,4,3,6,4,2,2,4,6,2,2,3,3,2,13,4,4,4,7,3,2,7,5,4,6,6,5,1,3,3,4
99,2020-12-18,3,3,4,4,9,5,2,2,6,6,3,2,4,3,3,67,5,5,5,8,4,3,7,5,5,7,7,5,1,5,3,5
100,2020-12-19,4,4,3,22,23,6,3,2,33,7,8,2,4,4,4,8,4,4,5,9,5,3,8,5,6,8,8,7,2,3,4,6
101,2020-12-20,36,40,16,20,100,42,7,8,23,33,31,15,25,33,21,9,35,35,40,56,33,24,22,39,46,69,69,43,15,23,24,52
102,2020-12-21,24,12,6,4,13,14,14,26,4,11,4,4,9,37,19,7,29,29,12,13,11,20,56,57,30,18,18,13,6,8,10,17
103,2020-12-22,5,4,4,4,9,6,100,6,3,6,3,3,6,9,4,6,6,6,7,6,5,3,8,10,7,8,8,6,2,5,5,7
104,2020-12-23,4,4,2,3,6,5,6,3,3,5,2,2,4,5,2,4,4,4,5,6,4,2,7,6,6,7,7,5,2,3,4,5
105,2020-12-24,4,3,2,3,6,5,4,2,3,7,2,2,4,5,2,5,4,4,5,11,4,4,6,5,5,8,8,5,2,4,4,6
106,2020-12-25,5,4,3,4,6,6,3,2,3,10,3,2,5,6,4,6,5,5,7,72,4,27,7,5,6,9,9,6,2,5,4,7
107,2020-12-26,64,5,3,3,9,9,3,5,4,84,4,3,6,8,4,17,8,8,17,50,5,25,8,7,9,77,77,9,27,6,5,8
108,2020-12-27,39,43,21,6,49,52,19,31,17,19,10,15,65,51,26,86,35,35,100,11,11,5,39,51,50,40,40,37,7,19,32,47
109,2020-12-28,8,10,6,9,24,16,7,6,10,7,31,6,14,15,6,7,26,26,12,7,14,4,18,16,37,9,9,31,3,51,20,37
110,2020-12-29,5,4,3,35,7,7,3,3,3,5,4,3,5,6,3,4,8,8,8,6,53,2,8,7,6,7,7,7,3,6,7,8
111,2020-12-30,4,3,2,5,5,6,2,3,3,5,3,3,3,4,2,3,5,5,6,6,5,2,6,5,4,6,6,5,2,3,4,5
112,2020-12-31,3,3,2,4,5,7,2,3,2,5,3,2,4,4,2,4,4,4,6,5,4,2,6,5,5,6,6,5,1,3,4,5
113,2021-01-01,4,4,3,4,5,8,3,3,2,5,4,2,4,4,2,4,4,4,6,6,4,3,8,5,5,6,6,6,2,4,4,6
114,2021-01-02,5,5,3,5,7,10,4,4,4,6,4,2,4,9,3,5,6,6,7,7,4,4,10,8,7,8,8,7,2,4,5,8
115,2021-01-03,39,29,17,25,39,62,17,31,19,36,21,16,34,29,23,23,34,34,44,46,24,18,87,28,24,35,35,41,16,27,19,60
116,2021-01-04,22,8,7,10,21,40,5,8,21,13,12,15,22,21,13,22,27,27,16,13,10,11,36,16,100,25,25,27,7,28,68,13
117,2021-01-05,3,4,3,4,6,8,2,5,5,7,3,4,6,7,2,5,6,6,5,6,4,3,10,6,13,6,6,7,2,6,6,5
118,2021-01-06,2,3,3,4,4,6,2,4,3,5,2,4,4,5,2,4,5,5,4,5,4,2,6,4,6,5,5,5,2,4,4,4
119,2021-01-07,2,3,3,3,4,6,2,3,3,5,2,4,5,4,2,3,5,5,3,4,3,2,5,4,4,5,5,6,2,5,3,4
120,2021-01-08,2,3,4,6,5,7,2,4,3,5,2,5,7,4,2,3,7,7,4,5,4,3,5,5,4,6,6,8,3,6,5,4
121,2021-01-09,2,3,6,55,7,14,2,6,3,6,4,4,100,6,4,4,82,82,4,5,5,6,7,6,5,7,7,68,10,10,14,5
122,2021-01-10,3,5,59,14,8,93,3,13,4,7,7,4,18,6,7,6,98,98,6,7,7,42,8,7,6,7,7,77,61,100,100,6
123,2021-01-11,2,4,15,10,6,58,3,100,4,6,6,4,5,6,7,4,20,20,5,5,6,30,7,7,13,6,6,8,7,15,6,5
124,2021-01-12,1,4,5,5,5,8,2,7,3,6,3,4,3,5,3,4,9,9,4,4,4,4,6,7,10,5,5,3,3,4,3,4
125,2021-01-13,2,3,4,4,4,7,2,4,4,7,3,4,3,5,3,4,8,8,3,4,3,3,5,7,6,6,6,5,3,3,2,3
126,2021-01-14,1,4,4,4,5,5,2,4,3,9,3,3,2,11,3,3,8,8,3,4,3,4,5,6,5,6,6,3,3,2,2,3
127,2021-01-15,2,7,5,6,5,4,1,4,3,11,5,3,2,15,4,3,12,12,4,4,3,4,5,14,6,8,8,3,3,3,2,3
128,2021-01-16,2,6,16,16,4,5,2,7,3,8,39,3,3,8,7,3,100,100,4,4,4,8,5,7,5,7,7,4,7,3,2,3
129,2021-01-17,2,6,100,98,6,7,2,76,4,9,35,5,4,7,80,4,63,63,4,6,6,42,7,7,7,8,8,4,27,4,3,5
130,2021-01-18,2,6,5,13,5,5,1,16,3,10,12,5,3,6,22,4,9,9,4,5,9,100,6,7,7,7,7,4,75,3,3,4
131,2021-01-19,1,4,3,6,4,4,1,3,3,8,6,4,2,4,5,3,4,4,3,4,3,4,5,6,6,5,5,3,6,2,2,4
132,2021-01-20,1,3,2,4,5,3,1,2,2,9,5,3,4,4,4,3,3,3,3,3,3,2,4,6,5,5,5,2,4,2,2,3
133,2021-01-21,1,3,2,5,4,4,2,1,2,10,5,3,4,4,4,3,3,3,3,3,3,1,4,7,10,6,6,2,4,2,2,3
134,2021-01-22,1,4,1,7,5,4,2,1,3,10,6,3,3,4,6,3,3,3,3,4,4,1,5,5,7,6,6,2,5,1,2,3
135,2021-01-23,1,3,1,9,4,4,2,1,3,10,10,4,3,3,9,3,3,3,3,4,3,2,4,6,5,6,6,2,9,2,2,3
136,2021-01-24,3,4,2,50,6,6,2,2,4,18,100,4,5,5,43,4,5,5,4,5,11,3,6,7,7,10,10,3,100,2,3,4
137,2021-01-25,2,4,2,100,5,5,2,2,4,10,23,4,4,4,100,4,4,4,4,5,11,2,7,6,6,9,9,3,37,2,2,4
138,2021-01-26,1,3,1,4,4,4,2,1,3,8,4,3,3,3,6,3,3,3,3,4,4,1,5,5,4,6,6,2,7,1,2,3
139,2021-01-27,1,3,1,2,4,3,1,1,3,8,2,3,2,2,4,3,3,3,3,4,4,1,4,4,4,7,7,5,5,1,2,3
140,2021-01-28,2,2,2,1,5,4,1,1,3,6,2,9,3,3,3,3,3,3,3,3,3,1,4,5,4,7,7,7,4,1,2,3
141,2021-01-29,1,3,1,1,5,4,1,1,3,7,2,5,2,3,3,3,3,3,3,4,3,1,4,5,4,7,7,5,3,2,2,3
142,2021-01-30,2,3,1,1,5,4,1,1,3,8,2,4,3,3,4,3,4,4,3,4,4,1,5,4,4,8,8,4,4,2,2,3
143,2021-01-31,2,3,1,1,6,5,1,1,4,27,2,4,5,4,4,4,28,28,3,4,5,1,5,5,5,9,9,4,4,2,3,3
144,2021-02-01,2,3,1,1,5,5,1,1,3,11,2,4,3,3,4,3,8,8,3,4,4,1,4,4,4,7,7,3,4,2,2,3
145,2021-02-02,1,2,1,1,5,4,2,1,3,7,1,3,3,3,4,3,5,5,3,5,4,1,4,4,3,6,6,3,4,1,2,3
146,2021-02-03,1,3,1,1,4,4,1,1,3,7,2,3,3,3,5,4,4,4,3,4,4,1,4,4,4,8,8,3,5,2,2,3
147,2021-02-04,1,3,1,1,5,4,2,1,3,6,1,3,4,2,6,3,4,4,3,4,4,1,5,4,4,7,7,2,6,1,2,3
148,2021-02-05,1,3,1,1,5,5,2,1,3,6,1,2,4,3,9,4,4,4,3,5,4,1,5,4,5,7,7,3,8,1,2,3
149,2021-02-06,2,3,1,1,5,7,1,1,3,6,2,2,4,3,10,4,4,4,3,4,5,1,5,4,7,7,7,2,10,2,2,3
150,2021-02-07,2,5,2,2,7,10,2,1,4,7,3,2,4,3,39,5,6,6,4,5,10,2,7,5,9,9,9,4,43,2,3,4
